age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,pc1,pc2,pc3,pc4,pc5,pc6
0,1,0.04413120765299046,1,0.8,4,0,1,4,1,0.021740217402174022,0.0,0.39795918367346933,1,0,-6.848343903525218,-0.43347344147636857,-1.996677950242177,0.837299971819929,1.1713926495770863,-0.5408511269440834
0,2,0.04805174157626436,1,0.8,2,3,0,4,1,0.0,0.0,0.12244897959183672,1,0,-3.816089677777584,-2.2158169367032086,-0.9498705088206563,0.09073935466685779,1.753269862937786,0.053477519073894975
0,0,0.13758131133233883,2,0.5333333333333333,0,5,1,4,1,0.0,0.0,0.39795918367346933,1,0,-2.02852812935601,-2.1742960312566204,0.6716791206442423,-1.7006030665720482,-0.475076919493076,0.005465074647582613
0,0,0.1504862612178349,5,0.4,2,5,0,2,1,0.0,0.0,0.39795918367346933,1,0,-2.021243072232866,-0.5883038463791079,2.583828392389197,0.9777697984641416,-0.32488972957172735,-1.621727454662076
2,0,0.2206350656072092,1,0.8,2,10,5,2,0,0.0,0.0,0.39795918367346933,0,0,3.021027877620493,2.081317054183665,-1.688268560468315,-3.1337112056821157,-0.9783685834312071,0.01756184920362225
0,0,0.18421908985430768,0,0.8666666666666667,2,3,5,4,0,0.0,0.0,0.39795918367346933,1,0,-3.9668564686859074,1.1087383649345615,-2.540504412543501,-3.5548517637325476,-0.09153895324532735,-0.3947834784659052
0,0,0.10006122662986303,5,0.26666666666666666,3,8,1,2,0,0.0,0.0,0.1530612244897959,0,0,0.9852011500004263,0.7684351124095001,2.058342964771658,0.8495214127416026,-0.4561364383386794,-2.0003286615427607
0,2,0.13351938110363537,2,0.5333333333333333,2,3,0,4,1,0.0,0.0,0.44897959183673464,1,1,-3.828896938773215,-1.8476789770843711,-0.042654464845206075,0.33311115771473454,1.755363082623579,-0.02722513213490596
2,0,0.022661294960135032,0,0.8666666666666667,4,10,1,4,0,0.14084140841408413,0.0,0.5,1,1,3.0706086607718985,-0.2273418053092393,-2.8868905387536032,0.6927916535922549,-0.9276553032056856,0.7924814709417114
0,0,0.099561942068107,1,0.8,2,3,0,4,1,0.051780517805178054,0.0,0.39795918367346933,1,1,-3.9714044911606714,-2.1991879003349277,-0.9959309206489271,0.1055826883971267,-0.2018047279587625,-0.2954311348758596
0,0,0.18143310906120297,4,0.6,2,3,0,2,1,0.0,0.0,0.8061224489795917,1,1,-4.003273803292837,-0.95901271349185,1.6445569587759865,0.7603504739146387,-0.17974712544803187,-1.5124318938729142
